address,blockchain,ens,number_of_points,role,strategy_name,tx_hash,tx_timestamp
0x8c180840fcbb90ce8464b4ecd12ab0f840c6647c,arbitrum,,593.109281107814,contract_dev,DonationVotingMerkleDistributionDirectTransferStrategy,0xe51225539ab9a6797ace9dc406d1c35a25b4b9f3a99835ae8a79614eb4e5ba66,2024-09-23 12:58:53.000 UTC
0x411f9a3cf8b761c0b29a7c18f0ca228c8e79beb3,arbitrum,,637.9370895885359,grantee,DonationVotingMerkleDistributionDirectTransferStrategy,0xe51225539ab9a6797ace9dc406d1c35a25b4b9f3a99835ae8a79614eb4e5ba66,2024-09-23 12:58:53.000 UTC
0x8c180840fcbb90ce8464b4ecd12ab0f840c6647c,arbitrum,,593.109281107814,contract_dev,DonationVotingMerkleDistributionDirectTransferStrategy,0xe51225539ab9a6797ace9dc406d1c35a25b4b9f3a99835ae8a79614eb4e5ba66,2024-09-23 12:58:53.000 UTC
0xa5bf3bc76efa40bf86adcd6a934f38768a3faa2b,arbitrum,,593.109281107814,round_operator,DonationVotingMerkleDistributionDirectTransferStrategy,0xe51225539ab9a6797ace9dc406d1c35a25b4b9f3a99835ae8a79614eb4e5ba66,2024-09-23 12:58:53.000 UTC
0xcd45e627e37b7f85266f4a9c6d3255f5f6448d6a,arbitrum,,548.2814726270921,grantee,DonationVotingMerkleDistributionDirectTransferStrategy,0xe51225539ab9a6797ace9dc406d1c35a25b4b9f3a99835ae8a79614eb4e5ba66,2024-09-23 12:58:53.000 UTC
0x0af272c62e1e8ee47e9f83b90eed772a22ed8afc,arbitrum,,593.109281107814,round_operator,DonationVotingMerkleDistributionDirectTransferStrategy,0xe51225539ab9a6797ace9dc406d1c35a25b4b9f3a99835ae8a79614eb4e5ba66,2024-09-23 12:58:53.000 UTC
0x1c9cf0e5473914a0e705e8cf0bdd3efbbfe17e48,optimism,,0.0,grantee,DonationVotingMerkleDistributionDirectTransferStrategy,0x8044148361d145fa570c66f1c5b2ccbfbabd7147f2c9b12701d0d5272754f798,2024-09-19 22:25:45.000 UTC
0x01b69bff063c3a665ce559cd45159438a1ff2262,optimism,,0.0,grantee,DonationVotingMerkleDistributionDirectTransferStrategy,0x8044148361d145fa570c66f1c5b2ccbfbabd7147f2c9b12701d0d5272754f798,2024-09-19 22:25:45.000 UTC
0x949b1fe8b1860e51fa550131eb0f21729ca68a1a,optimism,funblocks.eth,0.0,grantee,DonationVotingMerkleDistributionDirectTransferStrategy,0x8044148361d145fa570c66f1c5b2ccbfbabd7147f2c9b12701d0d5272754f798,2024-09-19 22:25:45.000 UTC
0x1da045d09d3073338c1ac4c13896f84756e6cd5c,optimism,,0.0,grantee,DonationVotingMerkleDistributionDirectTransferStrategy,0x8044148361d145fa570c66f1c5b2ccbfbabd7147f2c9b12701d0d5272754f798,2024-09-19 22:25:45.000 UTC
0x71f074c355d61b6c91efe10380d8038c3fe59a44,optimism,,0.0,grantee,DonationVotingMerkleDistributionDirectTransferStrategy,0x8044148361d145fa570c66f1c5b2ccbfbabd7147f2c9b12701d0d5272754f798,2024-09-19 22:25:45.000 UTC
